@RELATION tweets

@ATTRIBUTE bad NUMERIC
@ATTRIBUTE triste NUMERIC
@ATTRIBUTE solitário NUMERIC
@ATTRIBUTE depressivo NUMERIC
@ATTRIBUTE tristeza NUMERIC
@ATTRIBUTE repudio NUMERIC
@ATTRIBUTE sad_face NUMERIC
@ATTRIBUTE sad NUMERIC
@ATTRIBUTE caralho NUMERIC
@ATTRIBUTE caralho NUMERIC
@ATTRIBUTE decepcionado NUMERIC
@ATTRIBUTE decepcionada NUMERIC
@ATTRIBUTE insatisfeito NUMERIC
@ATTRIBUTE cansada NUMERIC
@ATTRIBUTE exausta NUMERIC
@ATTRIBUTE cansado NUMERIC
@ATTRIBUTE exausto NUMERIC
@ATTRIBUTE feliz NUMERIC
@ATTRIBUTE alegre NUMERIC
@ATTRIBUTE sorrindo NUMERIC
@ATTRIBUTE apaixonado NUMERIC
@ATTRIBUTE apaixonada NUMERIC
@ATTRIBUTE happy_face NUMERIC
@ATTRIBUTE felicidade NUMERIC
@ATTRIBUTE top NUMERIC
@ATTRIBUTE topzera NUMERIC
@ATTRIBUTE class {0,1}

@DATA
%
% Instances
%
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0, 0
